continente_mas_vendido,genero,plataforma_principal,puntuacion_critica,ventas_millones
América del Sur,Deportes,Mobile,89.4,4.52
Europa,Estrategia,PC,88.5,6.89
América del Norte,Acción,PC,73.8,1.6400000000000001
Europa,Estrategia,Mobile,86.1,5.06
América del Norte,Aventura,Mobile,79.7,1.32
Europa,Estrategia,Nintendo,91.8,1.34
Europa,Acción,Xbox,14.0,0.5
Europa,Acción,PC,75.1,2.13
Europa,Aventura,Xbox,73.1,4.68
Europa,Acción,Xbox,79.5,9.959999999999999
Europa,Acción,Mobile,81.7,3.3400000000000003
Europa,Deportes,Nintendo,81.9,7.06
Europa,Aventura,PlayStation,80.8,6.1499999999999995
América del Norte,Shooter,Nintendo,83.4,0.77
Europa,Shooter,Nintendo,76.2,2.43
América del Norte,Acción,Xbox,71.0,0.54
Europa,Shooter,Nintendo,70.3,4.109999999999999
Asia,Shooter,PC,85.8,10.58
Europa,Acción,Xbox,81.8,0.62
Europa,Shooter,PC,63.2,4.7299999999999995
Oceanía,Estrategia,PlayStation,86.8,3.6
Asia,RPG,Xbox,93.0,3.17
América del Sur,Aventura,PlayStation,72.3,1.83
Asia,RPG,Xbox,80.7,1.6400000000000001
América del Norte,Acción,Mobile,74.2,0.26
América del Norte,Deportes,Nintendo,83.0,0.96
Europa,Aventura,Mobile,68.7,0.15000000000000002
América del Norte,Acción,PlayStation,77.4,3.15
Europa,Deportes,Nintendo,85.9,0.49
Europa,RPG,Xbox,87.9,7.319999999999999
Europa,Acción,Nintendo,81.4,2.69
Asia,Aventura,PC,75.3,4.31
Asia,Aventura,Nintendo,65.3,1.9500000000000002
Europa,Carreras,PC,71.9,2.98
Asia,Estrategia,Nintendo,74.2,10.11
Europa,Shooter,PC,72.4,0.4
América del Sur,Deportes,PlayStation,78.5,1.1300000000000001
América del Norte,Carreras,Mobile,75.3,5.3999999999999995
Oceanía,Shooter,Xbox,79.4,0.45999999999999996
Asia,Shooter,Nintendo,87.6,0.38
Europa,Acción,Mobile,74.7,1.6700000000000002
América del Norte,Shooter,Xbox,66.9,0.44000000000000006
Europa,Estrategia,Xbox,72.4,3.18
América del Norte,Aventura,PC,82.7,1.0
América del Norte,Carreras,PlayStation,83.4,8.01
Europa,Shooter,PlayStation,81.2,5.46
Europa,Acción,Mobile,88.4,4.31
Asia,Estrategia,PlayStation,76.5,3.46
América del Sur,RPG,Nintendo,94.4,7.069999999999999
Europa,Aventura,PlayStation,84.5,0.98
Europa,Aventura,Mobile,57.8,7.33
América del Norte,Carreras,PlayStation,92.4,5.55
Asia,Aventura,Nintendo,71.9,4.93
Europa,Shooter,PC,69.7,2.98
Oceanía,Acción,Mobile,82.2,1.09
Asia,Aventura,PC,64.1,2.03
Europa,Aventura,PC,72.4,5.619999999999999
América del Norte,RPG,PC,90.5,0.21000000000000002
América del Sur,RPG,Xbox,82.4,5.43
Asia,Deportes,Xbox,84.5,1.06
América del Norte,Estrategia,PC,72.7,0.65
América del Norte,Shooter,Mobile,65.7,0.53
Asia,Aventura,Nintendo,83.7,0.2
América del Norte,Aventura,Nintendo,85.4,2.7
América del Sur,Acción,PlayStation,85.1,0.96
Europa,Deportes,Mobile,79.7,16.02
América del Norte,Estrategia,Xbox,70.3,3.0900000000000003
Asia,Deportes,PC,97.5,0.62
Europa,Carreras,PlayStation,81.8,4.1899999999999995
Europa,Estrategia,Nintendo,76.6,8.08
América del Norte,Aventura,Xbox,76.6,4.89
América del Norte,Aventura,Xbox,79.2,0.38
Europa,Estrategia,PC,86.6,8.02
Europa,Aventura,Nintendo,79.5,5.63
Europa,Shooter,Mobile,84.9,0.7
Asia,Estrategia,Xbox,79.2,0.29000000000000004
Europa,Deportes,PC,77.1,2.95
América del Norte,Estrategia,Mobile,83.1,0.69
Europa,Aventura,Nintendo,82.8,6.3999999999999995
América del Sur,Shooter,Xbox,76.6,1.6500000000000001
Asia,Shooter,Mobile,72.0,8.639999999999999
Europa,Carreras,Mobile,80.7,3.02
América del Norte,Deportes,Mobile,78.6,0.8099999999999999
América del Norte,RPG,Xbox,73.6,0.63
Asia,RPG,Xbox,71.3,3.11
América del Sur,Estrategia,PlayStation,81.3,5.119999999999999
Asia,Carreras,Nintendo,82.4,5.42
Asia,Acción,PC,75.1,1.23
Asia,Estrategia,Mobile,73.4,0.9
América del Norte,Carreras,PlayStation,71.4,0.16
Europa,Deportes,PC,81.1,4.08
América del Norte,Deportes,PlayStation,71.6,0.38
América del Norte,Deportes,Xbox,95.9,2.01
América del Sur,Deportes,Mobile,74.7,3.3200000000000003
Europa,Deportes,PC,58.6,9.78
Europa,Carreras,PC,77.8,1.4100000000000001
América del Norte,Carreras,PC,77.4,1.11
América del Norte,Shooter,PC,86.9,3.8200000000000003
América del Norte,RPG,PC,80.3,3.48
América del Norte,Aventura,PlayStation,71.3,1.51
Europa,Deportes,Mobile,75.7,9.31
América del Norte,Acción,Xbox,80.6,6.619999999999999
Europa,Aventura,Xbox,60.7,0.99
América del Norte,Carreras,Xbox,88.7,1.06
América del Norte,Acción,Xbox,71.4,2.61
América del Norte,Acción,PlayStation,89.3,5.3
Europa,Acción,Nintendo,81.1,0.26
Asia,Shooter,Mobile,83.0,4.239999999999999
Europa,Carreras,PC,87.2,3.7600000000000002
Europa,Acción,Nintendo,82.6,1.02
Asia,Deportes,Xbox,83.4,4.1
América del Norte,Estrategia,Nintendo,76.7,9.959999999999999
América del Norte,Acción,Mobile,81.0,0.27
Asia,Shooter,PC,73.3,1.4500000000000002
Europa,Aventura,PC,75.3,2.12
América del Norte,Carreras,Mobile,93.7,8.129999999999999
América del Sur,Shooter,Mobile,71.5,11.57
Asia,Acción,Xbox,79.2,2.16
América del Norte,Carreras,PC,78.9,4.949999999999999
Europa,Estrategia,Nintendo,75.5,2.75
Europa,Acción,PlayStation,82.1,2.8000000000000003
Europa,Shooter,PlayStation,82.7,1.24
Europa,RPG,Mobile,70.6,0.96
América del Norte,Deportes,Xbox,78.8,1.29
Europa,Aventura,PlayStation,69.3,2.94
Europa,Shooter,PC,84.3,0.2
Asia,Carreras,Mobile,79.4,8.42
Asia,Acción,Nintendo,78.7,0.69
América del Norte,Deportes,Mobile,83.3,0.97
Europa,Acción,Nintendo,75.8,2.66
América del Norte,Carreras,Mobile,85.3,4.43
Europa,Acción,Mobile,70.4,0.44999999999999996
Asia,RPG,Mobile,89.3,1.4400000000000002
América del Norte,Deportes,Nintendo,73.6,12.219999999999999
Europa,Deportes,Nintendo,64.4,1.1600000000000001
América del Norte,Carreras,Mobile,75.4,1.4100000000000001
América del Norte,Aventura,PlayStation,74.5,6.4399999999999995
Europa,RPG,Xbox,75.3,0.28
Europa,Shooter,Xbox,79.9,2.29
Oceanía,Acción,Xbox,86.8,1.77
Europa,Estrategia,Nintendo,76.5,1.4300000000000002
América del Norte,Acción,Nintendo,72.5,1.28
Europa,Acción,PlayStation,69.0,0.44000000000000006
América del Norte,Shooter,Xbox,74.3,1.4200000000000002
Oceanía,Acción,Xbox,62.9,0.25
Europa,RPG,Mobile,72.2,5.409999999999999
Asia,RPG,Nintendo,88.0,1.8800000000000001
América del Norte,Deportes,Xbox,71.4,2.15
Europa,Carreras,PlayStation,83.0,7.9399999999999995
Europa,Aventura,PlayStation,68.2,3.86
Asia,Estrategia,Xbox,92.2,0.13
América del Norte,Acción,Nintendo,92.7,10.139999999999999
América del Norte,Acción,PlayStation,82.7,1.05
Oceanía,Shooter,Mobile,93.9,0.5
Europa,Carreras,PlayStation,80.8,5.22
Europa,RPG,PC,84.1,2.5300000000000002
América del Norte,Estrategia,PC,88.1,2.09
Oceanía,Deportes,Nintendo,79.4,1.1
América del Norte,RPG,Xbox,65.6,2.88
Asia,Carreras,Nintendo,84.3,1.2200000000000002
Asia,Aventura,Nintendo,74.2,8.209999999999999
América del Norte,Deportes,Nintendo,74.8,0.95
Asia,Aventura,Nintendo,80.4,7.6499999999999995
América del Norte,Shooter,Mobile,82.5,2.97
América del Norte,Shooter,Mobile,79.2,6.27
Asia,Acción,PlayStation,83.1,4.47
América del Sur,Aventura,PC,72.3,4.279999999999999
Europa,Carreras,Nintendo,77.7,1.4700000000000002
Europa,Estrategia,PlayStation,84.8,1.03
América del Norte,Deportes,PC,92.2,0.9299999999999999
América del Norte,RPG,Xbox,95.0,6.909999999999999
América del Norte,Carreras,Mobile,81.5,6.109999999999999
América del Norte,Carreras,PC,84.7,2.13
América del Norte,Shooter,Xbox,93.9,0.6
Europa,Aventura,PC,72.6,1.79
América del Norte,Acción,Mobile,83.0,3.48
América del Norte,Acción,Mobile,84.1,2.22
Europa,Deportes,PlayStation,89.6,5.3999999999999995
Asia,Shooter,Nintendo,68.9,21.25
América del Norte,Carreras,PC,70.5,0.84
América del Sur,Estrategia,PC,78.2,2.25
América del Sur,Shooter,Xbox,81.0,2.07
América del Norte,Deportes,Mobile,87.0,1.37
Asia,Deportes,PC,82.1,0.87
Europa,Shooter,Mobile,76.8,0.33999999999999997
Europa,Deportes,PC,81.3,7.7299999999999995
Europa,Shooter,PlayStation,80.4,2.01
Europa,RPG,Nintendo,92.0,2.5
Europa,Shooter,PC,79.3,8.81
Europa,Aventura,Mobile,74.9,5.34
Europa,Shooter,PlayStation,81.6,0.59
Asia,Deportes,PC,79.6,3.02
Europa,Aventura,Xbox,65.4,2.14
Asia,Deportes,Nintendo,77.9,5.68
América del Norte,Acción,PC,77.2,4.609999999999999
América del Norte,Acción,PlayStation,73.6,4.199999999999999
Asia,Aventura,Xbox,86.3,1.56
América del Norte,RPG,PlayStation,71.7,5.819999999999999
América del Norte,Acción,PlayStation,81.6,0.29000000000000004
América del Norte,Shooter,Xbox,76.8,0.71
América del Norte,Deportes,PlayStation,78.9,1.53
Oceanía,Acción,Xbox,81.3,0.38
Europa,Acción,PC,67.5,1.04
América del Sur,RPG,Xbox,79.5,6.3
Europa,Aventura,Xbox,96.3,10.459999999999999
Europa,Aventura,Nintendo,65.5,1.37
América del Norte,Carreras,Xbox,77.5,1.1800000000000002
Europa,RPG,Xbox,87.0,1.25
América del Norte,Shooter,PC,80.4,1.24
América del Sur,Aventura,Nintendo,83.5,0.23
Asia,Deportes,Mobile,59.0,9.26
América del Norte,RPG,PC,82.8,0.94
Oceanía,Acción,PC,71.9,2.01
Asia,Deportes,Mobile,80.5,0.13
Asia,Deportes,Xbox,77.8,6.93
América del Norte,Acción,PlayStation,96.2,4.699999999999999
Europa,RPG,Nintendo,82.4,10.37
Europa,Acción,PlayStation,77.1,5.43
América del Norte,Carreras,Mobile,65.9,1.4200000000000002
América del Norte,Deportes,PC,79.0,1.1
Asia,Estrategia,PC,84.6,4.29
América del Norte,Estrategia,Nintendo,77.4,1.6800000000000002
Europa,Shooter,PC,74.0,3.02
América del Sur,Aventura,PC,73.4,0.12000000000000001
América del Sur,Acción,Nintendo,82.3,0.32
América del Norte,Acción,Nintendo,84.1,2.7800000000000002
América del Sur,Shooter,Mobile,88.9,3.02
América del Norte,Shooter,PC,70.0,4.97
América del Norte,Shooter,PC,82.2,0.6
Europa,Deportes,Mobile,77.0,2.62
Europa,Carreras,Xbox,77.3,0.86
Europa,Acción,Xbox,81.2,0.44000000000000006
Europa,Deportes,Xbox,81.3,1.9500000000000002
América del Norte,Shooter,Mobile,82.2,0.72
América del Norte,Acción,PC,69.5,0.98
Europa,Deportes,Mobile,72.0,1.4400000000000002
Asia,Carreras,Mobile,89.9,1.1500000000000001
Europa,Deportes,Xbox,76.2,0.42000000000000004
América del Norte,Carreras,PlayStation,80.4,0.43000000000000005
Europa,Shooter,PC,86.4,0.85
América del Norte,Carreras,Xbox,81.7,0.28
América del Norte,Acción,PlayStation,82.4,3.5500000000000003
Asia,Shooter,PlayStation,85.2,1.29
América del Norte,Acción,Nintendo,61.1,1.25
América del Norte,Estrategia,PC,74.1,1.51
Asia,RPG,PlayStation,81.7,3.9
Europa,Carreras,Xbox,89.1,7.26
Europa,RPG,Nintendo,78.5,5.08
América del Norte,RPG,PC,71.2,4.6499999999999995
América del Norte,Carreras,Mobile,71.5,2.42
América del Norte,Shooter,Xbox,85.1,4.239999999999999
América del Norte,Estrategia,PlayStation,76.3,2.92
Asia,Acción,PlayStation,77.9,0.95
Asia,Deportes,Xbox,82.9,0.9199999999999999
Asia,Acción,PlayStation,54.8,1.33
Asia,Deportes,Nintendo,94.0,8.56
Europa,Acción,PC,72.2,2.87
Asia,Carreras,Nintendo,79.9,4.7299999999999995
Europa,Estrategia,PlayStation,64.4,1.59
Europa,Deportes,Mobile,74.6,1.9300000000000002
Europa,Aventura,PC,88.0,0.57
América del Norte,Shooter,PC,62.7,0.76
Europa,Acción,Xbox,87.0,6.25
Oceanía,Acción,Xbox,75.8,3.18
América del Norte,Deportes,Mobile,81.9,1.54
América del Norte,Shooter,PC,83.3,5.779999999999999
Europa,Shooter,Mobile,81.5,1.09
Asia,Carreras,Xbox,71.1,13.16
Europa,Aventura,Xbox,75.1,1.58
Asia,Carreras,PC,66.3,1.54
América del Norte,Carreras,Nintendo,81.9,1.4100000000000001
Europa,Carreras,PlayStation,91.6,0.56
América del Norte,Carreras,Xbox,63.4,0.51
Asia,Carreras,Xbox,71.9,3.7600000000000002
Europa,Estrategia,Nintendo,76.5,7.38
América del Norte,Shooter,Nintendo,79.4,5.569999999999999
América del Norte,Carreras,Mobile,85.0,0.63
América del Norte,Shooter,Mobile,76.8,2.86
Europa,Shooter,PlayStation,75.5,0.49
América del Norte,RPG,PlayStation,86.8,0.26
Europa,Estrategia,PC,83.3,3.8400000000000003
Europa,Carreras,Mobile,82.3,2.7800000000000002
América del Norte,Acción,Xbox,78.9,0.4
América del Norte,Deportes,Mobile,85.9,0.22
América del Norte,Aventura,Xbox,72.7,16.130000000000003
América del Sur,Acción,Nintendo,71.7,0.21000000000000002
América del Norte,Estrategia,Mobile,84.0,2.16
Asia,Deportes,Nintendo,65.0,2.56
Asia,Estrategia,PlayStation,78.7,0.54
Europa,Shooter,PlayStation,75.5,0.75
América del Sur,Deportes,PC,66.8,1.62
Europa,Shooter,Mobile,70.5,5.119999999999999
Oceanía,Acción,Nintendo,77.1,2.58
América del Norte,Acción,Xbox,86.3,3.66
América del Norte,Deportes,PlayStation,72.8,14.84
Asia,Deportes,PlayStation,87.7,5.21
América del Sur,Carreras,Xbox,78.5,2.09
Asia,Estrategia,Nintendo,88.5,2.17
América del Norte,Carreras,Nintendo,73.2,3.48
América del Norte,Estrategia,Mobile,77.6,3.93
América del Sur,Carreras,Mobile,80.9,2.5300000000000002
América del Norte,Shooter,PC,76.6,3.72
Asia,Deportes,PlayStation,85.6,0.18
Asia,Acción,Mobile,60.3,2.07
Europa,Estrategia,Nintendo,97.4,1.24
Europa,Estrategia,Xbox,84.9,0.58
Europa,Acción,Nintendo,76.6,0.47
América del Norte,Carreras,PlayStation,73.6,3.3400000000000003
América del Sur,Estrategia,Nintendo,71.1,2.7
Europa,Aventura,PC,83.2,1.12
América del Sur,Shooter,PlayStation,86.0,2.33
América del Norte,Deportes,Xbox,76.7,2.47
Oceanía,Acción,PC,86.9,0.86
Europa,Deportes,PlayStation,70.7,3.8000000000000003
América del Norte,Aventura,Xbox,69.3,5.409999999999999
América del Norte,Estrategia,PC,92.5,5.59
Asia,Estrategia,PC,82.7,3.33
Asia,Aventura,PlayStation,89.2,2.61
Asia,Acción,Mobile,71.2,0.32
América del Norte,Shooter,PC,70.6,1.29
América del Norte,RPG,PC,75.1,0.44000000000000006
Europa,Acción,Xbox,71.4,11.719999999999999
Europa,RPG,Nintendo,83.6,0.61
Europa,Aventura,PlayStation,72.0,0.6799999999999999
Oceanía,Carreras,PlayStation,68.6,7.81
Oceanía,RPG,Mobile,79.1,10.18
América del Sur,Shooter,Mobile,67.7,5.18
Asia,Carreras,PlayStation,63.6,0.12000000000000001
Europa,RPG,Mobile,79.1,0.1
Europa,Aventura,Xbox,64.0,1.76
Europa,Carreras,PlayStation,84.2,0.64
Asia,Aventura,Mobile,66.8,0.16
América del Norte,RPG,PlayStation,60.1,2.2800000000000002
Europa,Aventura,Nintendo,75.6,10.129999999999999
América del Norte,Shooter,PC,79.2,1.4700000000000002
Europa,RPG,PlayStation,81.9,3.89
América del Sur,RPG,PC,79.4,3.8000000000000003
Asia,RPG,Mobile,69.5,1.11
América del Norte,Acción,PC,83.7,3.7800000000000002
Oceanía,Acción,PlayStation,85.7,0.94
Asia,Acción,Nintendo,68.4,0.56
América del Norte,Shooter,Mobile,76.6,4.33
América del Norte,Carreras,PlayStation,75.8,0.52
América del Norte,Aventura,Mobile,79.8,20.330000000000002
América del Norte,Estrategia,Xbox,76.4,0.8099999999999999
Oceanía,RPG,PC,77.5,3.2600000000000002
Europa,Aventura,Xbox,83.1,1.9500000000000002
América del Sur,RPG,PlayStation,69.1,0.57
América del Norte,Shooter,Nintendo,83.9,0.2
América del Norte,RPG,Mobile,87.1,3.5100000000000002
Europa,Acción,PC,91.1,5.85
América del Norte,Estrategia,Mobile,60.9,6.56
Europa,Deportes,PlayStation,76.5,2.41
América del Sur,RPG,Mobile,62.3,5.359999999999999
Europa,Aventura,PC,58.5,4.01
Europa,Acción,PlayStation,79.2,4.609999999999999
América del Norte,Deportes,Mobile,74.8,2.47
América del Norte,Estrategia,Nintendo,80.4,3.61
América del Norte,Deportes,PlayStation,81.9,5.83
Europa,Acción,PlayStation,88.0,1.8800000000000001
América del Norte,Carreras,Nintendo,78.4,5.84
Europa,Carreras,Xbox,100.0,3.24
Europa,Deportes,PC,80.5,0.73
Europa,Shooter,Xbox,92.7,0.19
América del Norte,Aventura,Mobile,59.3,1.6800000000000002
América del Norte,Aventura,Nintendo,88.8,2.87
América del Sur,Deportes,Xbox,76.6,6.51
Asia,RPG,PlayStation,62.4,0.58
Europa,RPG,Mobile,81.4,5.739999999999999
América del Norte,Aventura,Mobile,75.6,7.06
Oceanía,Aventura,Xbox,82.6,0.6699999999999999
Asia,Carreras,Xbox,86.1,6.779999999999999
América del Norte,Shooter,Nintendo,66.1,16.770000000000003
América del Sur,Acción,PC,86.1,4.64
América del Norte,RPG,Xbox,78.1,5.4799999999999995
Europa,Aventura,Xbox,88.8,18.26
Europa,Carreras,PlayStation,76.4,3.36
América del Norte,Estrategia,Mobile,74.2,1.3900000000000001
Oceanía,Carreras,PC,78.2,6.46
Asia,RPG,PlayStation,78.8,3.44
Europa,RPG,Nintendo,72.7,3.15
América del Norte,Carreras,Nintendo,74.0,1.12
América del Norte,Acción,Xbox,68.2,5.04
América del Norte,Deportes,Xbox,74.5,0.4
Asia,RPG,Nintendo,83.4,9.129999999999999
América del Norte,Carreras,Xbox,76.9,1.48
Europa,Aventura,PC,86.1,128.4
Asia,Carreras,Xbox,76.5,2.14
América del Norte,Shooter,Mobile,66.5,0.25
Asia,Deportes,Xbox,82.8,4.14
América del Norte,Estrategia,PlayStation,72.6,8.26
Oceanía,Acción,PC,76.1,6.449999999999999
Europa,Estrategia,PlayStation,87.9,0.58
América del Norte,Deportes,PlayStation,68.7,0.57
América del Norte,Deportes,Mobile,79.3,5.9799999999999995
Europa,Deportes,PC,77.7,9.129999999999999
Asia,Estrategia,PC,83.6,2.2600000000000002
Asia,Aventura,PC,84.8,2.52
Europa,Deportes,PC,80.1,1.4400000000000002
América del Norte,Carreras,PC,75.1,7.96
América del Norte,Estrategia,Mobile,81.8,3.72
América del Norte,Deportes,Xbox,88.7,1.29
Europa,Carreras,PlayStation,77.8,1.34
América del Sur,Aventura,PC,75.9,7.859999999999999
Europa,Shooter,Xbox,81.1,0.15000000000000002
América del Norte,Aventura,Xbox,78.3,1.4600000000000002
Europa,Deportes,PlayStation,67.3,2.93
Asia,Estrategia,Mobile,79.9,0.66
Asia,RPG,Nintendo,67.2,0.44000000000000006
América del Sur,Deportes,Nintendo,81.0,6.01
América del Norte,RPG,Xbox,71.6,7.97
América del Norte,Carreras,PlayStation,78.3,6.17
América del Sur,Shooter,Nintendo,81.1,8.12
Asia,Acción,Xbox,97.6,2.92
América del Norte,Aventura,Mobile,83.9,5.949999999999999
Asia,Shooter,Nintendo,88.9,1.8
Asia,Deportes,Xbox,93.0,3.94
Europa,RPG,Xbox,81.9,15.83
Asia,Aventura,PC,80.3,1.0
Europa,RPG,Mobile,69.5,1.83
Europa,Estrategia,PC,77.1,2.39
Europa,RPG,PlayStation,72.2,0.62
Asia,Estrategia,PC,74.8,0.4
Asia,Carreras,PC,93.0,6.3
Asia,Aventura,Nintendo,78.9,13.27
América del Norte,Aventura,Xbox,71.0,1.9200000000000002
Asia,Acción,Mobile,89.0,0.42000000000000004
Asia,Deportes,PC,85.6,0.33999999999999997
Asia,Estrategia,Mobile,86.1,7.869999999999999
Asia,Acción,PC,62.0,2.2800000000000002
Asia,RPG,PlayStation,93.6,1.4500000000000002
Europa,RPG,PC,73.5,2.37
Europa,Acción,Nintendo,84.2,1.4400000000000002
América del Norte,Aventura,Xbox,98.2,2.45
Europa,RPG,PlayStation,95.2,6.97
Europa,Carreras,PC,70.2,3.24
Asia,Carreras,Mobile,66.4,4.25
América del Norte,Acción,PlayStation,89.4,1.6900000000000002
América del Norte,Estrategia,PlayStation,79.1,4.79
Asia,Estrategia,PC,74.0,3.94
América del Norte,Acción,PlayStation,83.0,0.55
América del Norte,Estrategia,Mobile,76.7,3.08
América del Norte,Aventura,PlayStation,83.6,1.1400000000000001
América del Norte,Aventura,Mobile,78.5,5.81
América del Norte,Estrategia,PC,83.8,2.04
Europa,Carreras,Xbox,70.8,18.43
Europa,Estrategia,PlayStation,89.4,0.44000000000000006
América del Sur,Aventura,Xbox,83.6,5.3999999999999995
Europa,Shooter,Mobile,83.2,4.02
Asia,Deportes,PlayStation,69.1,5.21
América del Norte,RPG,Nintendo,91.6,1.3900000000000001
América del Norte,Shooter,Xbox,77.9,2.47
Asia,Estrategia,PlayStation,83.8,5.67
América del Norte,Carreras,Xbox,75.4,1.03
Europa,Acción,PlayStation,80.1,1.0
Europa,Estrategia,PC,80.4,2.9
Europa,Carreras,Xbox,55.4,2.69
América del Norte,Deportes,Nintendo,82.7,1.26
América del Norte,Estrategia,Nintendo,93.7,1.34
Europa,Aventura,Mobile,82.3,1.24
América del Norte,Acción,PlayStation,70.3,5.27
Asia,Carreras,Xbox,83.2,3.79
