region,producto,precio_promedio_mxn,indice_inflacion_local,variacion_porcentual_mensual,costo_transporte_mxn
Centro,Leche (Litro),53.42,5.25,-0.82,10.63
Norte,Tortilla (Kg),33.82,5.88,2.01,6.4
Occidente,Frijol (Kg),41.94,3.4,1.78,6.13
Norte,Aceite (Litro),51.71,4.71,-0.58,7.41
Sur,Frijol (Kg),60.34,5.37,1.52,16.62
Centro,Huevo (Kg),48.12,6.16,0.52,23.58
Centro,Huevo (Kg),43.63,4.81,-0.06,14.93
Centro,Aceite (Litro),46.9,3.7,-0.49,21.86
Norte,Huevo (Kg),56.25,5.7,-0.43,13.92
Occidente,Aceite (Litro),44.12,4.69,4.14,19.17
Sur,Frijol (Kg),43.2,4.25,0.15,19.64
Occidente,Aceite (Litro),45.1,4.7,1.14,8.48
Occidente,Leche (Litro),42.28,5.05,-0.47,12.22
Centro,Aceite (Litro),48.74,4.72,-0.47,17.75
Occidente,Tortilla (Kg),57.75,3.44,1.66,6.41
Norte,Leche (Litro),49.94,5.92,-0.77,12.23
Norte,Tortilla (Kg),46.49,6.22,-0.21,15.7
Norte,Tortilla (Kg),46.25,5.72,0.18,24.92
Centro,Frijol (Kg),38.62,4.29,0.26,14.49
Centro,Aceite (Litro),53.3,5.04,-0.02,21.32
Norte,Aceite (Litro),47.53,5.19,0.59,13.64
Sur,Leche (Litro),46.92,5.68,1.0,20.93
Centro,Tortilla (Kg),67.16,5.73,1.06,16.91
Norte,Tortilla (Kg),49.79,4.61,-0.59,22.73
Centro,Leche (Litro),43.49,5.27,-0.11,13.22
Norte,Huevo (Kg),45.44,5.57,1.88,17.09
Sur,Huevo (Kg),54.89,6.36,1.32,17.6
Norte,Tortilla (Kg),48.68,5.76,-0.78,13.35
Occidente,Tortilla (Kg),39.37,5.83,0.54,7.89
Sur,Tortilla (Kg),53.52,5.27,-1.0,6.87
Norte,Huevo (Kg),43.99,6.33,0.2,5.33
Norte,Huevo (Kg),59.24,5.53,3.65,22.47
Sur,Huevo (Kg),54.48,4.51,-0.57,9.73
Sur,Aceite (Litro),45.32,6.32,-0.5,9.23
Sur,Tortilla (Kg),55.69,5.76,1.11,19.72
Sur,Tortilla (Kg),48.41,4.85,-0.85,11.4
Norte,Frijol (Kg),53.12,4.82,-0.37,15.12
Centro,Huevo (Kg),50.91,5.44,0.86,8.25
Norte,Aceite (Litro),42.92,5.57,-0.37,24.19
Occidente,Leche (Litro),44.14,5.36,-0.07,22.03
Centro,Huevo (Kg),54.18,5.45,1.08,22.28
Centro,Tortilla (Kg),45.99,6.56,0.62,13.14
Norte,Aceite (Litro),45.58,6.06,0.43,20.25
Centro,Aceite (Litro),42.27,5.35,-0.15,7.88
Centro,Tortilla (Kg),50.54,5.95,0.56,5.17
Sur,Frijol (Kg),60.38,4.37,0.03,5.4
Centro,Huevo (Kg),41.59,5.52,0.67,16.73
Occidente,Aceite (Litro),48.15,6.65,38.5,14.11
Centro,Huevo (Kg),56.47,5.03,-0.02,15.36
Norte,Aceite (Litro),47.52,4.52,-0.59,5.15
Sur,Frijol (Kg),50.71,4.68,0.11,13.45
Sur,Frijol (Kg),41.63,4.33,-0.49,19.36
Centro,Frijol (Kg),50.57,4.57,-0.66,13.85
Sur,Huevo (Kg),46.88,4.9,0.43,19.64
Centro,Huevo (Kg),53.91,4.08,0.37,9.66
Centro,Huevo (Kg),55.12,5.21,1.14,21.26
Centro,Huevo (Kg),63.54,5.92,-0.23,16.77
Norte,Leche (Litro),51.48,4.47,0.61,9.22
Norte,Tortilla (Kg),49.95,6.42,0.79,9.73
Norte,Huevo (Kg),49.17,5.61,0.65,17.56
Centro,Aceite (Litro),45.88,6.02,-0.5,21.6
Centro,Aceite (Litro),50.03,4.67,0.3,13.31
Centro,Aceite (Litro),46.23,5.88,0.55,10.17
Occidente,Aceite (Litro),49.01,4.33,0.16,22.34
Norte,Huevo (Kg),55.91,5.91,-1.03,18.39
Centro,Tortilla (Kg),41.96,5.34,0.32,13.96
Sur,Leche (Litro),54.84,5.64,4.72,14.76
Norte,Frijol (Kg),55.9,4.26,-0.17,9.09
Norte,Huevo (Kg),47.29,4.48,-0.43,17.54
Norte,Leche (Litro),35.27,5.68,0.56,12.17
Norte,Huevo (Kg),44.35,4.44,0.49,24.91
Occidente,Huevo (Kg),55.78,5.57,1.87,14.6
Sur,Frijol (Kg),47.86,4.11,-0.72,14.72
Centro,Frijol (Kg),42.0,5.88,1.06,16.32
Occidente,Frijol (Kg),44.97,4.21,0.85,23.34
Sur,Huevo (Kg),53.04,5.64,0.01,21.02
Norte,Aceite (Litro),51.28,5.7,0.52,14.02
Occidente,Tortilla (Kg),46.57,4.64,1.56,19.37
Centro,Huevo (Kg),45.8,5.67,1.28,16.72
Sur,Aceite (Litro),45.65,5.41,-0.67,14.85
Occidente,Aceite (Litro),42.47,4.77,1.2,8.85
Centro,Aceite (Litro),57.69,4.39,0.09,14.28
Norte,Leche (Litro),46.07,3.63,0.22,9.92
Norte,Frijol (Kg),55.3,5.48,0.22,23.3
Centro,Frijol (Kg),57.13,3.95,0.01,11.71
Sur,Huevo (Kg),53.99,5.28,1.87,24.05
Occidente,Tortilla (Kg),45.41,4.99,0.07,15.66
Norte,Tortilla (Kg),50.42,5.74,-0.66,17.63
Centro,Tortilla (Kg),47.85,4.96,-0.2,15.86
Centro,Leche (Litro),42.58,4.94,0.34,7.59
Norte,Tortilla (Kg),49.95,5.79,1.95,12.52
Norte,Huevo (Kg),40.93,5.47,0.87,6.98
Centro,Huevo (Kg),55.13,5.45,-0.51,17.46
Occidente,Frijol (Kg),45.21,5.58,5.82,13.94
Centro,Huevo (Kg),49.21,3.97,0.43,20.56
Centro,Aceite (Litro),49.7,5.81,2.04,9.41
Sur,Tortilla (Kg),46.45,5.69,0.01,8.29
Centro,Tortilla (Kg),51.52,4.39,0.77,13.13
Occidente,Frijol (Kg),45.15,5.0,1.23,23.53
Occidente,Leche (Litro),53.23,5.17,1.92,19.21
Norte,Tortilla (Kg),39.92,5.09,1.61,13.38
Centro,Frijol (Kg),48.76,5.47,1.28,15.35
Centro,Frijol (Kg),59.63,6.35,-0.14,6.68
Norte,Tortilla (Kg),42.0,6.07,-0.33,24.69
Norte,Aceite (Litro),43.93,4.15,0.51,18.33
Centro,Leche (Litro),51.08,5.7,1.39,10.71
Centro,Frijol (Kg),49.08,6.26,-0.06,16.72
Norte,Aceite (Litro),50.1,5.51,1.62,7.19
Norte,Aceite (Litro),50.94,6.07,2.44,24.32
Occidente,Leche (Litro),51.81,6.81,-0.55,8.5
Norte,Leche (Litro),54.66,6.02,-0.5,17.96
Norte,Frijol (Kg),50.46,5.4,0.02,9.91
Centro,Frijol (Kg),46.55,6.04,0.48,19.35
Occidente,Frijol (Kg),52.04,5.32,-0.3,20.54
Norte,Leche (Litro),59.4,5.22,2.21,18.47
Sur,Huevo (Kg),47.2,4.92,0.63,17.29
Sur,Aceite (Litro),42.15,6.45,0.19,22.85
Norte,Aceite (Litro),54.64,4.55,-0.8,6.57
Sur,Huevo (Kg),47.28,6.43,-0.75,11.62
Centro,Leche (Litro),34.96,5.6,0.45,9.97
Centro,Huevo (Kg),53.08,4.08,-1.04,24.76
Centro,Tortilla (Kg),44.79,5.49,1.53,12.79
Centro,Leche (Litro),47.46,3.52,-0.0,19.65
Norte,Huevo (Kg),49.99,5.7,10.04,18.69
Sur,Leche (Litro),49.14,5.91,5.08,9.24
Centro,Leche (Litro),52.26,4.73,-0.02,9.78
Norte,Frijol (Kg),45.39,5.3,0.05,10.63
Norte,Huevo (Kg),51.08,6.76,1.5,13.22
Centro,Tortilla (Kg),46.44,4.8,3.08,9.69
Sur,Frijol (Kg),52.43,4.35,-0.88,5.39
Norte,Aceite (Litro),51.69,6.39,-0.94,22.59
Centro,Frijol (Kg),42.39,6.77,-0.36,24.31
Norte,Tortilla (Kg),54.52,5.2,0.84,11.83
Centro,Frijol (Kg),44.78,6.01,0.72,11.77
Norte,Frijol (Kg),52.85,6.27,1.63,5.14
Sur,Leche (Litro),50.2,4.61,-0.7,18.61
Centro,Huevo (Kg),59.03,4.81,-1.09,21.51
Occidente,Leche (Litro),46.66,6.18,1.26,7.93
Norte,Frijol (Kg),45.9,6.55,-0.5,8.19
Centro,Aceite (Litro),47.88,5.65,-1.01,20.8
Norte,Tortilla (Kg),46.18,4.5,0.3,17.33
Occidente,Frijol (Kg),52.8,6.79,1.15,5.9
Occidente,Aceite (Litro),38.3,4.78,0.03,17.45
Norte,Huevo (Kg),41.68,4.93,-0.25,11.18
Sur,Aceite (Litro),41.59,5.47,-0.0,12.37
Sur,Frijol (Kg),53.7,6.44,-0.18,20.39
Centro,Huevo (Kg),58.26,5.88,-0.77,21.22
Centro,Tortilla (Kg),47.37,5.53,-0.43,13.01
Norte,Leche (Litro),46.99,5.57,0.75,23.94
Norte,Huevo (Kg),48.42,5.23,0.5,13.13
Occidente,Frijol (Kg),54.97,5.65,0.32,20.44
Occidente,Tortilla (Kg),42.44,3.18,-0.59,14.68
Centro,Frijol (Kg),49.43,4.96,-0.02,22.95
Centro,Huevo (Kg),53.85,5.39,-1.05,23.16
Centro,Aceite (Litro),51.01,4.28,0.34,6.75
Sur,Aceite (Litro),49.14,5.51,2.39,23.73
Occidente,Aceite (Litro),54.01,5.04,-0.82,21.51
Occidente,Leche (Litro),31.78,6.6,-0.34,20.83
Sur,Huevo (Kg),52.07,6.46,0.51,9.02
Centro,Leche (Litro),44.08,4.83,2.0,21.1
Norte,Huevo (Kg),37.02,5.08,-0.24,22.0
Norte,Huevo (Kg),51.07,5.14,-0.41,10.78
Occidente,Tortilla (Kg),56.24,4.84,-0.99,24.05
Centro,Tortilla (Kg),47.18,5.36,0.25,6.0
Norte,Leche (Litro),53.72,4.59,4.11,8.0
Norte,Frijol (Kg),57.67,4.3,0.45,15.75
Sur,Tortilla (Kg),55.89,5.7,0.13,16.52
Norte,Tortilla (Kg),57.84,5.7,0.5,17.9
Norte,Aceite (Litro),52.45,4.56,0.14,5.34
Centro,Tortilla (Kg),48.45,5.92,-0.49,24.21
Sur,Tortilla (Kg),38.39,4.69,1.2,5.89
Sur,Huevo (Kg),46.52,5.4,0.39,7.86
Norte,Leche (Litro),42.94,5.86,0.17,5.28
Sur,Frijol (Kg),61.03,5.17,-0.58,16.34
Norte,Huevo (Kg),46.94,5.56,2.1,23.65
Centro,Huevo (Kg),48.74,4.79,0.96,18.32
Sur,Frijol (Kg),51.31,5.04,-0.32,21.45
Centro,Frijol (Kg),48.26,5.04,1.51,5.27
Sur,Tortilla (Kg),58.17,4.6,-0.28,15.84
Sur,Aceite (Litro),44.26,5.06,-0.47,14.19
Centro,Huevo (Kg),49.17,3.96,-0.45,14.98
Norte,Tortilla (Kg),43.55,4.81,-0.93,6.44
Centro,Aceite (Litro),40.08,4.97,0.69,18.69
Norte,Tortilla (Kg),44.33,5.0,-0.95,15.06
Norte,Frijol (Kg),47.78,5.01,-0.71,20.3
Occidente,Tortilla (Kg),45.42,5.15,-1.03,14.71
Centro,Tortilla (Kg),43.85,5.58,0.07,7.99
Occidente,Aceite (Litro),39.56,5.9,0.01,17.97
Centro,Tortilla (Kg),47.5,4.68,-0.14,8.45
Sur,Aceite (Litro),38.97,4.24,-0.62,22.45
Centro,Huevo (Kg),52.56,4.37,-0.68,17.26
Centro,Huevo (Kg),48.49,4.81,0.68,8.14
Centro,Huevo (Kg),39.25,4.92,-0.32,24.25
Norte,Frijol (Kg),46.14,4.58,0.49,15.37
Sur,Tortilla (Kg),43.49,4.16,-0.53,6.46
Norte,Aceite (Litro),49.92,4.84,0.34,17.54
Norte,Tortilla (Kg),56.04,5.35,2.1,10.06
Centro,Aceite (Litro),36.75,5.68,0.84,21.07
Norte,Huevo (Kg),48.69,4.75,-0.21,21.36
Occidente,Aceite (Litro),47.04,4.87,0.42,24.58
Occidente,Leche (Litro),52.03,4.46,-0.07,15.04
Occidente,Leche (Litro),49.28,5.17,0.16,14.1
Centro,Leche (Litro),43.49,4.52,-0.14,20.07
Norte,Leche (Litro),46.09,5.66,-0.01,7.65
Occidente,Frijol (Kg),43.22,3.77,0.37,15.94
Centro,Huevo (Kg),54.46,4.91,-0.59,15.92
Occidente,Huevo (Kg),48.13,5.44,-0.6,6.79
Occidente,Aceite (Litro),59.41,5.35,-0.78,13.36
Occidente,Frijol (Kg),47.64,7.35,-0.87,22.07
Norte,Leche (Litro),43.75,5.48,-0.71,22.12
Centro,Tortilla (Kg),38.92,4.4,0.31,6.98
Occidente,Huevo (Kg),37.18,5.12,-0.54,6.81
Centro,Huevo (Kg),38.5,3.78,0.74,10.25
Norte,Frijol (Kg),49.6,5.14,0.18,22.5
Centro,Tortilla (Kg),51.05,4.53,-0.99,7.58
Occidente,Huevo (Kg),38.51,5.93,0.94,19.4
Sur,Tortilla (Kg),53.37,4.76,1.18,7.02
Centro,Huevo (Kg),45.1,5.11,-0.59,17.46
Norte,Frijol (Kg),48.88,4.69,0.62,12.12
Centro,Tortilla (Kg),57.67,6.59,-0.51,20.78
Occidente,Leche (Litro),53.38,4.94,0.25,9.67
Norte,Tortilla (Kg),46.39,6.67,-0.73,17.78
Centro,Tortilla (Kg),42.65,5.85,-0.94,9.71
Occidente,Huevo (Kg),35.09,5.59,-0.19,19.27
Sur,Huevo (Kg),43.69,5.49,0.03,22.47
Sur,Tortilla (Kg),46.73,5.52,-0.2,7.54
Sur,Tortilla (Kg),42.08,3.66,-0.69,22.33
Centro,Frijol (Kg),47.21,4.98,-0.2,16.87
Norte,Tortilla (Kg),48.46,5.88,0.44,7.54
Sur,Frijol (Kg),46.65,5.16,0.1,13.55
Sur,Aceite (Litro),44.1,4.08,0.34,8.22
Occidente,Leche (Litro),49.01,5.16,-0.4,19.01
Occidente,Huevo (Kg),50.65,6.56,1.83,20.18
Centro,Tortilla (Kg),41.46,6.2,-0.69,7.12
Centro,Huevo (Kg),56.47,5.15,0.71,15.12
Sur,Huevo (Kg),47.41,5.96,1.85,21.29
Centro,Aceite (Litro),48.11,4.91,0.7,23.72
Sur,Huevo (Kg),52.25,3.84,-0.04,15.27
Sur,Tortilla (Kg),49.4,4.46,-0.3,24.01
Occidente,Frijol (Kg),53.72,6.45,1.57,15.71
Centro,Leche (Litro),49.72,4.98,-0.8,12.88
Centro,Frijol (Kg),44.33,5.01,-0.58,21.96
Norte,Huevo (Kg),50.17,4.96,-0.2,14.86
Centro,Tortilla (Kg),41.14,6.72,1.96,14.44
Norte,Frijol (Kg),48.65,6.5,0.57,14.81
Centro,Huevo (Kg),47.8,6.98,-0.58,21.94
Centro,Tortilla (Kg),46.75,5.07,-0.13,21.64
Norte,Huevo (Kg),47.23,5.44,-0.36,13.07
Centro,Huevo (Kg),36.71,3.99,-0.42,11.67
Norte,Tortilla (Kg),44.71,6.38,1.47,14.84
Norte,Huevo (Kg),48.56,4.27,-0.78,16.46
Sur,Frijol (Kg),48.96,5.37,2.83,9.77
Centro,Frijol (Kg),41.83,4.32,1.21,20.88
Norte,Leche (Litro),55.59,4.73,1.67,14.73
Centro,Huevo (Kg),42.8,4.53,-0.25,11.68
Sur,Huevo (Kg),53.82,4.71,0.01,7.14
Norte,Huevo (Kg),50.56,4.77,-0.8,9.78
Centro,Frijol (Kg),44.12,4.76,-0.3,23.99
Norte,Leche (Litro),58.65,5.87,0.72,11.1
Norte,Huevo (Kg),40.84,4.32,2.09,8.38
Centro,Aceite (Litro),53.51,5.38,-0.65,14.21
Centro,Huevo (Kg),54.0,6.17,-0.18,11.14
Centro,Frijol (Kg),43.98,4.79,0.01,5.7
Sur,Leche (Litro),56.35,4.63,-0.79,11.46
Occidente,Aceite (Litro),46.5,5.02,0.85,15.88
Centro,Leche (Litro),49.73,6.14,-0.43,16.03
Centro,Leche (Litro),49.56,5.36,-0.03,12.13
Sur,Tortilla (Kg),47.19,4.78,-0.24,13.95
Norte,Leche (Litro),52.86,5.59,-0.47,24.31
Centro,Huevo (Kg),52.76,4.32,0.14,12.55
Norte,Aceite (Litro),37.51,5.75,-0.05,10.16
Norte,Frijol (Kg),55.83,5.53,-0.18,9.87
Occidente,Leche (Litro),38.03,4.95,-0.44,14.16
Sur,Tortilla (Kg),54.2,4.53,0.5,20.19
Sur,Frijol (Kg),54.76,4.49,2.95,9.12
Centro,Frijol (Kg),41.45,5.63,0.29,19.19
Norte,Leche (Litro),45.54,6.18,1.5,5.42
Norte,Huevo (Kg),41.37,4.69,-0.78,13.38
Norte,Huevo (Kg),46.71,5.57,0.31,20.52
Centro,Huevo (Kg),46.15,3.53,-0.65,11.77
Sur,Huevo (Kg),52.68,4.73,-0.82,16.27
Sur,Aceite (Litro),55.86,5.18,-0.44,9.1
Norte,Huevo (Kg),56.37,4.47,1.87,19.84
Occidente,Aceite (Litro),44.63,4.45,1.42,6.05
Sur,Tortilla (Kg),46.74,4.67,0.41,22.05
Centro,Huevo (Kg),37.9,5.43,-0.84,8.96
Centro,Leche (Litro),43.16,5.05,-0.03,22.49
Centro,Frijol (Kg),53.79,3.41,0.48,12.05
Norte,Tortilla (Kg),57.69,3.5,0.33,19.45
Centro,Frijol (Kg),40.59,4.71,-0.95,11.38
Sur,Leche (Litro),44.45,5.57,-0.53,23.12
Norte,Huevo (Kg),47.84,3.0,0.09,7.53
Norte,Aceite (Litro),49.68,4.8,0.77,8.57
Norte,Aceite (Litro),43.14,4.78,-1.06,14.86
Norte,Frijol (Kg),50.54,6.31,-0.0,6.64
Occidente,Huevo (Kg),45.16,4.89,0.3,8.92
Sur,Frijol (Kg),47.91,5.51,1.24,23.88
Centro,Huevo (Kg),51.28,5.31,1.0,24.53
Norte,Huevo (Kg),48.04,3.5,0.84,12.53
Centro,Tortilla (Kg),45.38,5.81,-0.48,23.47
Centro,Tortilla (Kg),47.34,5.37,-0.98,15.9
Norte,Aceite (Litro),47.47,5.61,-0.2,10.39
Centro,Leche (Litro),45.78,8.34,1.51,19.05
Centro,Leche (Litro),46.45,3.53,2.3,18.18
Centro,Tortilla (Kg),57.59,6.58,1.03,24.78
Centro,Tortilla (Kg),51.37,4.97,0.63,10.3
Norte,Tortilla (Kg),46.23,5.43,0.57,18.44
Centro,Aceite (Litro),52.18,5.16,-0.32,6.04
Centro,Huevo (Kg),46.0,4.86,0.02,7.27
Centro,Aceite (Litro),55.04,4.74,2.99,5.08
Occidente,Frijol (Kg),50.22,5.46,-0.56,24.99
Sur,Tortilla (Kg),47.36,3.99,2.84,21.05
Norte,Leche (Litro),50.69,5.8,-0.14,20.73
Norte,Tortilla (Kg),38.57,4.87,2.15,15.19
Centro,Aceite (Litro),41.24,4.3,-0.79,11.0
Norte,Aceite (Litro),40.84,4.84,0.84,8.03
Centro,Tortilla (Kg),48.86,6.21,-0.44,10.69
Occidente,Tortilla (Kg),58.4,4.77,-0.79,12.52
Centro,Frijol (Kg),61.39,5.49,0.38,20.13
Centro,Aceite (Litro),51.83,4.62,1.52,15.79
Centro,Huevo (Kg),51.01,5.81,-0.51,6.55
Centro,Frijol (Kg),37.19,5.75,-0.83,5.36
Centro,Frijol (Kg),44.74,6.68,0.06,7.05
Occidente,Leche (Litro),43.27,5.06,0.06,13.21
Centro,Huevo (Kg),44.27,5.73,0.79,23.66
Occidente,Leche (Litro),46.99,5.28,1.41,17.75
Occidente,Aceite (Litro),45.17,6.24,0.09,21.04
Norte,Huevo (Kg),36.12,4.62,3.52,14.33
Norte,Huevo (Kg),52.49,5.8,0.39,12.23
Norte,Aceite (Litro),41.56,5.04,-0.16,7.17
Norte,Huevo (Kg),49.44,5.15,-0.87,22.52
Norte,Aceite (Litro),60.44,5.27,-0.09,20.66
Sur,Tortilla (Kg),42.48,5.4,-0.15,8.36
Norte,Huevo (Kg),32.82,5.11,1.43,15.25
Centro,Aceite (Litro),46.28,5.37,0.68,14.75
Sur,Tortilla (Kg),54.61,6.46,-0.69,17.5
Norte,Frijol (Kg),59.75,5.99,0.33,23.92
Sur,Tortilla (Kg),40.62,5.9,0.97,16.6
Norte,Frijol (Kg),50.98,4.84,2.62,15.8
Norte,Huevo (Kg),45.21,4.49,1.31,6.01
Sur,Tortilla (Kg),47.36,5.96,1.1,6.26
Centro,Aceite (Litro),63.87,5.9,0.21,8.75
Occidente,Tortilla (Kg),38.98,6.38,0.58,5.65
Sur,Frijol (Kg),49.52,4.72,1.99,19.87
Sur,Tortilla (Kg),50.81,5.02,-0.76,19.47
Norte,Leche (Litro),54.51,3.89,-0.16,7.72
Norte,Huevo (Kg),48.59,4.89,-0.46,21.72
Sur,Aceite (Litro),49.85,6.0,0.57,8.1
Sur,Tortilla (Kg),45.65,4.83,1.95,11.02
Occidente,Huevo (Kg),49.61,5.71,-0.35,9.98
Centro,Huevo (Kg),45.94,5.05,-1.11,12.45
Centro,Huevo (Kg),51.73,5.46,-0.21,10.09
Sur,Frijol (Kg),45.78,4.28,1.35,14.78
Centro,Tortilla (Kg),50.26,5.27,0.78,13.15
Occidente,Leche (Litro),47.82,2.81,0.63,24.73
Occidente,Tortilla (Kg),54.76,5.05,-0.11,6.12
Centro,Huevo (Kg),47.69,3.9,-0.73,7.84
Sur,Frijol (Kg),37.36,6.16,0.75,6.06
Sur,Leche (Litro),55.57,5.82,-0.5,17.52
Norte,Huevo (Kg),42.57,5.57,4.61,6.09
Occidente,Huevo (Kg),44.08,6.42,0.82,21.73
Centro,Huevo (Kg),44.43,4.44,-0.34,15.24
Sur,Leche (Litro),56.25,6.6,-0.36,15.54
Centro,Frijol (Kg),35.19,5.95,0.06,16.23
Occidente,Tortilla (Kg),66.83,5.01,-0.07,8.42
Centro,Leche (Litro),54.34,6.11,1.72,8.95
Norte,Leche (Litro),49.34,4.31,0.34,11.38
Occidente,Frijol (Kg),47.67,4.54,-0.44,16.87
Norte,Aceite (Litro),49.71,4.71,3.63,9.2
Centro,Huevo (Kg),51.13,4.78,0.2,7.33
Occidente,Huevo (Kg),51.87,4.35,1.12,24.4
Occidente,Tortilla (Kg),51.33,6.18,-0.36,5.44
Centro,Huevo (Kg),48.54,4.99,0.55,21.05
Centro,Frijol (Kg),46.82,5.48,0.49,20.76
Centro,Aceite (Litro),47.09,4.74,-0.97,10.94
Norte,Huevo (Kg),46.83,3.74,4.02,7.71
Centro,Huevo (Kg),54.8,5.42,2.08,7.91
Sur,Tortilla (Kg),51.56,3.67,-0.2,18.95
Sur,Aceite (Litro),30.36,5.15,-0.65,17.86
Sur,Tortilla (Kg),51.94,4.11,0.53,20.65
Sur,Frijol (Kg),49.17,6.79,0.24,23.75
Norte,Huevo (Kg),47.89,5.93,0.54,18.84
Centro,Huevo (Kg),45.67,5.28,0.35,8.12
Norte,Aceite (Litro),54.74,6.21,0.73,9.87
Centro,Aceite (Litro),53.69,4.52,2.43,21.84
Centro,Huevo (Kg),43.36,5.63,0.82,9.19
Occidente,Aceite (Litro),50.44,5.36,-0.62,6.45
Centro,Frijol (Kg),42.17,5.41,2.23,19.07
Norte,Aceite (Litro),39.72,6.22,2.91,13.05
Norte,Tortilla (Kg),44.24,5.79,9.43,23.4
Sur,Frijol (Kg),53.17,5.43,-0.66,18.01
Centro,Tortilla (Kg),53.72,3.88,0.41,6.81
Norte,Frijol (Kg),51.08,4.43,-1.03,23.96
Norte,Huevo (Kg),52.35,5.1,0.8,10.17
Sur,Huevo (Kg),51.1,5.27,-0.31,11.74
Norte,Tortilla (Kg),44.15,4.3,3.73,13.05
Sur,Leche (Litro),50.59,7.13,-0.46,6.02
Sur,Huevo (Kg),52.8,6.41,-0.9,14.93
Norte,Frijol (Kg),52.53,5.68,-0.26,7.47
Norte,Aceite (Litro),55.13,5.26,-1.0,13.02
Occidente,Huevo (Kg),52.25,5.03,1.09,12.01
Centro,Frijol (Kg),50.11,4.44,-1.02,20.46
Centro,Tortilla (Kg),54.42,5.26,0.18,21.06
Sur,Aceite (Litro),47.84,5.41,-1.03,8.07
Occidente,Huevo (Kg),42.71,4.21,-0.14,12.33
Occidente,Frijol (Kg),47.02,5.47,2.92,12.47
Sur,Leche (Litro),43.53,5.08,0.55,8.03
Centro,Aceite (Litro),43.95,3.67,-0.52,20.97
Norte,Frijol (Kg),47.13,4.51,0.12,19.14
Sur,Tortilla (Kg),5.0,4.87,0.17,8.81
Centro,Frijol (Kg),46.15,6.71,0.69,12.33
Centro,Aceite (Litro),36.64,5.65,-0.77,7.12
Occidente,Frijol (Kg),49.28,4.13,0.85,17.56
Norte,Huevo (Kg),48.01,5.59,-1.17,7.43
Centro,Aceite (Litro),43.1,3.96,-0.37,24.72
Norte,Frijol (Kg),51.96,6.07,-0.27,20.61
Centro,Frijol (Kg),53.63,4.82,0.91,12.8
Norte,Huevo (Kg),38.35,5.13,0.17,16.57
Norte,Frijol (Kg),43.42,6.26,-0.79,23.23
Norte,Tortilla (Kg),43.39,4.17,-0.59,16.08
Centro,Frijol (Kg),42.36,4.08,0.36,8.49
Sur,Huevo (Kg),52.98,4.73,0.07,12.57
Centro,Frijol (Kg),46.84,6.03,-0.34,21.86
Occidente,Aceite (Litro),46.41,3.98,-0.26,17.88
Centro,Huevo (Kg),35.98,2.93,1.0,18.01
Norte,Aceite (Litro),51.81,4.84,-0.29,22.34
Occidente,Tortilla (Kg),40.56,5.64,0.06,22.88
